ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 21:12:00,35291.0,35298.0,35287.0,35292.0,39,2026-04-09,2
2026-04-08 21:13:00,35295.0,35302.0,35290.0,35292.0,44,2026-04-09,2
2026-04-08 21:14:00,35292.0,35298.0,35279.0,35289.0,64,2026-04-09,2
2026-04-08 21:15:00,35285.0,35295.0,35284.0,35295.0,29,2026-04-09,2
2026-04-08 21:16:00,35295.0,35302.0,35293.0,35294.0,57,2026-04-09,2
2026-04-08 21:17:00,35291.0,35297.0,35290.0,35295.0,46,2026-04-09,2
2026-04-08 21:18:00,35297.0,35306.0,35295.0,35305.0,68,2026-04-09,2
2026-04-08 21:19:00,35302.0,35305.0,35285.0,35285.0,56,2026-04-09,2
2026-04-08 21:20:00,35294.0,35312.0,35292.0,35308.0,67,2026-04-09,2
2026-04-08 21:21:00,35300.0,35309.0,35299.0,35302.0,18,2026-04-09,2
2026-04-08 21:22:00,35299.0,35299.0,35277.0,35280.0,64,2026-04-09,2
2026-04-08 21:23:00,35283.0,35289.0,35278.0,35287.0,32,2026-04-09,2
2026-04-08 21:24:00,35288.0,35306.0,35288.0,35300.0,56,2026-04-09,2
2026-04-08 21:25:00,35300.0,35306.0,35294.0,35300.0,48,2026-04-09,2
2026-04-08 21:26:00,35303.0,35306.0,35287.0,35290.0,93,2026-04-09,2
2026-04-08 21:27:00,35290.0,35305.0,35290.0,35301.0,35,2026-04-09,2
2026-04-08 21:28:00,35300.0,35301.0,35297.0,35297.0,31,2026-04-09,2
2026-04-08 21:29:00,35296.0,35296.0,35282.0,35287.0,54,2026-04-09,2
2026-04-08 21:30:00,35287.0,35297.0,35267.0,35296.0,102,2026-04-09,2
2026-04-08 21:31:00,35290.0,35333.0,35267.0,35287.0,417,2026-04-09,2
2026-04-08 21:32:00,35293.0,35295.0,35239.0,35254.0,422,2026-04-09,2
2026-04-08 21:33:00,35258.0,35281.0,35255.0,35275.0,142,2026-04-09,2
2026-04-08 21:34:00,35276.0,35288.0,35230.0,35264.0,323,2026-04-09,2
2026-04-08 21:35:00,35265.0,35289.0,35263.0,35286.0,176,2026-04-09,2
2026-04-08 21:36:00,35278.0,35296.0,35262.0,35292.0,177,2026-04-09,2
2026-04-08 21:37:00,35292.0,35319.0,35283.0,35291.0,218,2026-04-09,2
2026-04-08 21:38:00,35300.0,35333.0,35287.0,35306.0,205,2026-04-09,2
2026-04-08 21:39:00,35300.0,35300.0,35243.0,35277.0,317,2026-04-09,2
2026-04-08 21:40:00,35275.0,35276.0,35237.0,35247.0,183,2026-04-09,2
2026-04-08 21:41:00,35261.0,35276.0,35237.0,35258.0,134,2026-04-09,2
2026-04-08 21:42:00,35263.0,35266.0,35223.0,35243.0,200,2026-04-09,2
2026-04-08 21:43:00,35249.0,35284.0,35237.0,35238.0,259,2026-04-09,2
2026-04-08 21:44:00,35241.0,35257.0,35225.0,35257.0,146,2026-04-09,2
2026-04-08 21:45:00,35256.0,35292.0,35254.0,35263.0,198,2026-04-09,2
2026-04-08 21:46:00,35261.0,35268.0,35246.0,35268.0,117,2026-04-09,2
2026-04-08 21:47:00,35269.0,35341.0,35268.0,35332.0,289,2026-04-09,2
2026-04-08 21:48:00,35330.0,35348.0,35319.0,35338.0,187,2026-04-09,2
2026-04-08 21:49:00,35338.0,35345.0,35301.0,35330.0,242,2026-04-09,2
2026-04-08 21:50:00,35325.0,35342.0,35319.0,35340.0,84,2026-04-09,2
2026-04-08 21:51:00,35340.0,35342.0,35318.0,35322.0,96,2026-04-09,2
2026-04-08 21:52:00,35318.0,35324.0,35230.0,35243.0,365,2026-04-09,2
2026-04-08 21:53:00,35240.0,35280.0,35240.0,35263.0,215,2026-04-09,2
2026-04-08 21:54:00,35265.0,35266.0,35228.0,35235.0,216,2026-04-09,2
2026-04-08 21:55:00,35243.0,35257.0,35202.0,35219.0,264,2026-04-09,2
2026-04-08 21:56:00,35216.0,35243.0,35211.0,35222.0,149,2026-04-09,2
2026-04-08 21:57:00,35227.0,35257.0,35227.0,35239.0,119,2026-04-09,2
2026-04-08 21:58:00,35244.0,35251.0,35217.0,35231.0,191,2026-04-09,2
2026-04-08 21:59:00,35229.0,35232.0,35206.0,35227.0,179,2026-04-09,2
2026-04-08 22:00:00,35227.0,35273.0,35227.0,35257.0,219,2026-04-09,2
2026-04-08 22:01:00,35259.0,35285.0,35252.0,35268.0,175,2026-04-09,2
2026-04-08 22:02:00,35270.0,35284.0,35260.0,35277.0,90,2026-04-09,2
2026-04-08 22:03:00,35280.0,35282.0,35261.0,35271.0,70,2026-04-09,2
2026-04-08 22:04:00,35270.0,35275.0,35261.0,35275.0,40,2026-04-09,2
2026-04-08 22:05:00,35278.0,35291.0,35267.0,35274.0,172,2026-04-09,2
2026-04-08 22:06:00,35275.0,35284.0,35262.0,35273.0,96,2026-04-09,2
2026-04-08 22:07:00,35274.0,35276.0,35243.0,35269.0,108,2026-04-09,2
2026-04-08 22:08:00,35275.0,35281.0,35247.0,35252.0,94,2026-04-09,2
2026-04-08 22:09:00,35255.0,35270.0,35175.0,35230.0,489,2026-04-09,2
2026-04-08 22:10:00,35233.0,35250.0,35223.0,35250.0,173,2026-04-09,2
2026-04-08 22:11:00,35252.0,35263.0,35240.0,35241.0,110,2026-04-09,2
2026-04-08 22:12:00,35236.0,35267.0,35217.0,35267.0,91,2026-04-09,2
2026-04-08 22:13:00,35262.0,35265.0,35251.0,35260.0,34,2026-04-09,2
2026-04-08 22:14:00,35255.0,35274.0,35255.0,35274.0,65,2026-04-09,2
2026-04-08 22:15:00,35271.0,35283.0,35258.0,35272.0,73,2026-04-09,2
2026-04-08 22:16:00,35273.0,35286.0,35254.0,35254.0,90,2026-04-09,2
2026-04-08 22:17:00,35257.0,35267.0,35254.0,35266.0,67,2026-04-09,2
2026-04-08 22:18:00,35268.0,35281.0,35258.0,35258.0,63,2026-04-09,2
2026-04-08 22:19:00,35256.0,35272.0,35225.0,35231.0,165,2026-04-09,2
2026-04-08 22:20:00,35235.0,35237.0,35183.0,35203.0,312,2026-04-09,2
2026-04-08 22:21:00,35208.0,35228.0,35203.0,35217.0,109,2026-04-09,2
2026-04-08 22:22:00,35215.0,35229.0,35202.0,35224.0,82,2026-04-09,2
2026-04-08 22:23:00,35224.0,35244.0,35219.0,35243.0,93,2026-04-09,2
2026-04-08 22:24:00,35237.0,35239.0,35214.0,35214.0,72,2026-04-09,2
2026-04-08 22:25:00,35223.0,35228.0,35213.0,35215.0,71,2026-04-09,2
2026-04-08 22:26:00,35218.0,35218.0,35176.0,35188.0,164,2026-04-09,2
2026-04-08 22:27:00,35190.0,35195.0,35166.0,35183.0,171,2026-04-09,2
2026-04-08 22:28:00,35183.0,35207.0,35174.0,35201.0,100,2026-04-09,2
2026-04-08 22:29:00,35208.0,35214.0,35179.0,35188.0,85,2026-04-09,2
2026-04-08 22:30:00,35189.0,35193.0,35166.0,35170.0,122,2026-04-09,2
2026-04-08 22:31:00,35179.0,35195.0,35151.0,35165.0,177,2026-04-09,2
2026-04-08 22:32:00,35168.0,35179.0,35122.0,35147.0,456,2026-04-09,2
2026-04-08 22:33:00,35148.0,35166.0,35130.0,35130.0,182,2026-04-09,2
2026-04-08 22:34:00,35137.0,35144.0,35121.0,35140.0,148,2026-04-09,2
2026-04-08 22:35:00,35138.0,35153.0,35122.0,35135.0,125,2026-04-09,2
2026-04-08 22:36:00,35136.0,35152.0,35103.0,35108.0,214,2026-04-09,2
2026-04-08 22:37:00,35111.0,35124.0,35088.0,35105.0,283,2026-04-09,2
2026-04-08 22:38:00,35105.0,35137.0,35103.0,35127.0,175,2026-04-09,2
2026-04-08 22:39:00,35129.0,35131.0,35110.0,35117.0,95,2026-04-09,2
2026-04-08 22:40:00,35124.0,35126.0,35104.0,35108.0,96,2026-04-09,2
2026-04-08 22:41:00,35113.0,35127.0,35110.0,35111.0,95,2026-04-09,2
2026-04-08 22:42:00,35110.0,35120.0,35088.0,35097.0,163,2026-04-09,2
2026-04-08 22:43:00,35096.0,35109.0,35081.0,35104.0,201,2026-04-09,2
2026-04-08 22:44:00,35108.0,35115.0,35058.0,35070.0,285,2026-04-09,2
2026-04-08 22:45:00,35069.0,35077.0,35061.0,35069.0,196,2026-04-09,2
2026-04-08 22:46:00,35067.0,35076.0,35059.0,35063.0,208,2026-04-09,2
2026-04-08 22:47:00,35069.0,35072.0,35028.0,35043.0,221,2026-04-09,2
2026-04-08 22:48:00,35043.0,35047.0,35005.0,35040.0,358,2026-04-09,2
