timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount,Date
,72.3,72.3,72.2,72.3,219,,,15815900.0,2026-04-23 11:43:00
,72.2,72.4,72.2,72.3,246,,,17780800.0,2026-04-23 11:44:00
,72.3,72.5,72.0,72.2,1491,,,107585900.0,2026-04-23 11:45:00
,72.4,72.4,72.3,72.4,165,,,11942800.0,2026-04-23 11:46:00
,72.5,72.7,72.4,72.7,418,,,30322100.0,2026-04-23 11:47:00
,72.7,72.7,72.6,72.7,221,,,16064200.0,2026-04-23 11:48:00
,72.7,72.9,72.7,72.9,256,,,18636400.0,2026-04-23 11:49:00
,72.8,73.0,72.8,73.0,418,,,30481900.0,2026-04-23 11:50:00
,72.9,73.2,72.9,73.2,567,,,41411900.0,2026-04-23 11:51:00
,73.2,73.2,73.0,73.1,174,,,12715000.0,2026-04-23 11:52:00
,73.1,73.1,73.0,73.1,100,,,7307700.0,2026-04-23 11:53:00
,73.1,73.2,73.0,73.1,134,,,9794600.0,2026-04-23 11:54:00
,73.1,73.4,73.1,73.4,326,,,23884200.0,2026-04-23 11:55:00
,73.4,73.4,73.2,73.3,460,,,33745100.0,2026-04-23 11:56:00
,73.2,73.4,73.2,73.3,136,,,9966700.0,2026-04-23 11:57:00
,73.3,73.5,73.3,73.4,208,,,15270000.0,2026-04-23 11:58:00
,73.5,73.5,73.4,73.4,199,,,14613500.0,2026-04-23 11:59:00
,73.4,73.5,73.3,73.5,193,,,14165000.0,2026-04-23 12:00:00
,73.4,73.5,73.3,73.4,171,,,12550900.0,2026-04-23 12:01:00
,73.4,73.5,73.3,73.4,137,,,10055900.0,2026-04-23 12:02:00
,73.4,73.4,73.3,73.4,62,,,4546400.0,2026-04-23 12:03:00
,73.3,73.3,73.2,73.3,302,,,22131100.0,2026-04-23 12:04:00
,73.2,73.4,73.2,73.4,239,,,17522500.0,2026-04-23 12:05:00
,73.3,73.4,73.3,73.4,66,,,4839800.0,2026-04-23 12:06:00
,73.3,73.4,73.3,73.4,99,,,7262900.0,2026-04-23 12:07:00
,73.3,73.5,73.3,73.5,263,,,19305000.0,2026-04-23 12:08:00
,73.4,73.5,73.4,73.5,143,,,10505800.0,2026-04-23 12:09:00
