timestamp,Open,High,Low,Close,Volume,Amount,Date
,349.0,349.0,349.0,349.0,1,349000.0,2026-04-30 10:50:00
,348.5,349.0,348.5,349.0,2,697500.0,2026-04-30 10:51:00
,348.5,349.0,348.5,349.0,2,697500.0,2026-04-30 10:52:00
,349.0,349.0,348.5,348.5,3,1046000.0,2026-04-30 10:53:00
,348.5,349.0,348.5,349.0,6,2093500.0,2026-04-30 10:54:00
,348.5,348.5,348.5,348.5,1,348500.0,2026-04-30 10:55:00
,348.5,348.5,348.0,348.0,14,4875500.0,2026-04-30 10:56:00
,347.5,347.5,346.5,346.5,21,7289000.0,2026-04-30 10:57:00
,347.0,347.0,346.5,346.5,3,1040500.0,2026-04-30 10:58:00
,347.5,347.5,347.0,347.5,7,2431500.0,2026-04-30 10:59:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:00:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:01:00
,347.0,347.0,347.0,347.0,7,2429000.0,2026-04-30 11:02:00
,347.0,347.0,347.0,347.0,8,2776000.0,2026-04-30 11:03:00
,347.0,347.0,347.0,347.0,10,3470000.0,2026-04-30 11:04:00
,347.0,347.0,347.0,347.0,4,1388000.0,2026-04-30 11:05:00
,347.0,348.5,347.0,348.0,18,6261500.0,2026-04-30 11:06:00
,348.5,348.5,348.0,348.0,6,2088500.0,2026-04-30 11:07:00
,348.0,348.0,347.5,347.5,2,695500.0,2026-04-30 11:08:00
,347.5,348.0,347.5,348.0,4,1391500.0,2026-04-30 11:09:00
,348.0,349.0,348.0,349.0,27,9409000.0,2026-04-30 11:10:00
,349.0,349.0,349.0,349.0,10,3490000.0,2026-04-30 11:11:00
,348.5,348.5,348.0,348.0,2,696500.0,2026-04-30 11:12:00
,348.5,348.5,348.0,348.0,4,1393000.0,2026-04-30 11:13:00
,348.0,348.5,348.0,348.0,5,1741000.0,2026-04-30 11:14:00
,348.0,348.0,348.0,348.0,2,696000.0,2026-04-30 11:15:00
,348.0,348.0,348.0,348.0,3,1044000.0,2026-04-30 11:16:00
,348.5,348.5,347.5,347.5,2,696000.0,2026-04-30 11:17:00
,347.5,348.0,347.5,348.0,2,695500.0,2026-04-30 11:18:00
,348.0,348.0,347.5,347.5,7,2433500.0,2026-04-30 11:19:00
,347.0,347.5,347.0,347.5,3,1042000.0,2026-04-30 11:20:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:21:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:22:00
,347.5,347.5,347.0,347.0,2,694500.0,2026-04-30 11:24:00
,347.0,347.0,347.0,347.0,1,347000.0,2026-04-30 11:25:00
,347.0,347.0,347.0,347.0,18,6246000.0,2026-04-30 11:26:00
,347.0,347.0,346.5,346.5,10,3469500.0,2026-04-30 11:28:00
,346.5,347.0,346.5,347.0,2,693500.0,2026-04-30 11:29:00
,347.0,347.0,347.0,347.0,6,2082000.0,2026-04-30 11:30:00
,346.5,346.5,346.0,346.0,28,9699000.0,2026-04-30 11:31:00
,346.0,346.0,345.5,346.0,40,13839000.0,2026-04-30 11:32:00
,346.0,346.0,345.5,346.0,11,3803000.0,2026-04-30 11:33:00
,346.0,346.5,346.0,346.5,6,2078000.0,2026-04-30 11:34:00
,346.5,346.5,346.5,346.5,1,346500.0,2026-04-30 11:35:00
,346.5,347.0,346.0,347.0,6,2077500.0,2026-04-30 11:37:00
,347.0,347.0,347.0,347.0,8,2776000.0,2026-04-30 11:38:00
,347.0,347.0,347.0,347.0,8,2776000.0,2026-04-30 11:39:00
,347.5,347.5,347.5,347.5,9,3127500.0,2026-04-30 11:40:00
,347.5,347.5,347.5,347.5,6,2085000.0,2026-04-30 11:41:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:43:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 11:45:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 11:46:00
,347.5,347.5,347.5,347.5,20,6950000.0,2026-04-30 11:47:00
,347.5,347.5,347.5,347.5,5,1737500.0,2026-04-30 11:48:00
,347.5,347.5,347.5,347.5,3,1042500.0,2026-04-30 11:49:00
,347.5,347.5,347.5,347.5,4,1390000.0,2026-04-30 11:50:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 11:51:00
,347.5,347.5,347.5,347.5,5,1737500.0,2026-04-30 11:52:00
,348.0,348.0,348.0,348.0,3,1044000.0,2026-04-30 11:53:00
,347.5,348.0,347.5,347.5,5,1738500.0,2026-04-30 11:54:00
,347.5,347.5,347.5,347.5,3,1042500.0,2026-04-30 11:55:00
,347.5,347.5,347.5,347.5,3,1042500.0,2026-04-30 11:56:00
,347.5,347.5,347.5,347.5,4,1390000.0,2026-04-30 11:57:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 11:58:00
,347.5,347.5,347.5,347.5,3,1042500.0,2026-04-30 11:59:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 12:00:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 12:01:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 12:02:00
,347.5,347.5,347.5,347.5,2,695000.0,2026-04-30 12:03:00
,347.5,347.5,347.5,347.5,1,347500.0,2026-04-30 12:04:00
,347.0,347.0,347.0,347.0,2,694000.0,2026-04-30 12:05:00
,347.5,347.5,347.0,347.0,2,694500.0,2026-04-30 12:06:00
,347.0,347.0,346.5,346.5,16,5550500.0,2026-04-30 12:07:00
,346.5,347.0,346.5,347.0,4,1386500.0,2026-04-30 12:08:00
,346.5,346.5,346.0,346.0,10,3461500.0,2026-04-30 12:10:00
,346.0,346.0,346.0,346.0,11,3806000.0,2026-04-30 12:11:00
,346.0,346.0,346.0,346.0,1,346000.0,2026-04-30 12:12:00
,345.5,346.0,345.5,346.0,4,1383500.0,2026-04-30 12:13:00
,346.0,346.0,345.5,345.5,2,691500.0,2026-04-30 12:14:00
,345.5,345.5,345.0,345.0,51,17605500.0,2026-04-30 12:15:00
,345.0,345.0,344.5,345.0,34,11723500.0,2026-04-30 12:16:00
,344.5,345.0,344.5,344.5,11,3791000.0,2026-04-30 12:17:00
,344.5,344.5,343.5,343.5,62,21323000.0,2026-04-30 12:18:00
,343.5,344.0,342.5,344.0,71,24375500.0,2026-04-30 12:19:00
,344.0,344.0,343.5,343.5,6,2063000.0,2026-04-30 12:20:00
,344.5,344.5,344.0,344.0,8,2754000.0,2026-04-30 12:21:00
