entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
CONFIRMED_BREAKOUT,-15.0,-3000.0,4,4.0,-17.0
EARLY_BREAKOUT,7.199999999999999,1439.9999999999998,11,26.0,-7.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,24,17.0,-15.0
EARLY_BREAKOUT,-2.1,-420.0,6,1.0,-7.0
EARLY_BREAKOUT,-1.5,-300.0,10,3.0,-6.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,7,0.0,-10.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,2,2.0,-14.0
EARLY_BREAKOUT,12.6,2520.0,9,43.0,-7.0
EARLY_BREAKOUT,-3.3,-660.0,2,2.0,-11.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,11,3.0,-11.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,3,2.0,-9.0
EARLY_BREAKOUT,-3.3,-660.0,4,5.0,-19.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,3,1.0,-6.0
EARLY_BREAKOUT,3.3,660.0,8,12.0,-12.0
EARLY_BREAKOUT,5.3999999999999995,1080.0,15,19.0,-7.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,5,2.0,-11.0
EARLY_BREAKOUT,4.8,960.0,15,16.0,-6.0
EARLY_BREAKOUT,-2.1,-420.0,7,2.0,-10.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,10,5.0,-7.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,13,3.0,-7.0
EARLY_BREAKOUT,-4.2,-840.0,3,1.0,-14.0
CONFIRMED_BREAKOUT,-16.0,-3200.0,2,3.0,-27.0
CONFIRMED_BREAKOUT,17.0,3400.0,8,18.0,-8.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,30,5.0,-12.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,4,0.0,-6.0
EARLY_BREAKOUT,3.0,600.0,5,10.0,-6.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,3,2.0,-10.0
EARLY_BREAKOUT,-2.1,-420.0,9,3.0,-7.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,7,9.0,-13.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,2,0.0,-6.0
CONFIRMED_BREAKOUT,14.0,2800.0,5,14.0,-11.0
EARLY_BREAKOUT,-3.0,-600.0,14,10.0,-10.0
EARLY_BREAKOUT,-4.2,-840.0,21,25.0,-14.0
CONFIRMED_BREAKOUT,31.0,6200.0,12,31.0,-15.0
EARLY_BREAKOUT,-4.5,-900.0,36,18.0,-16.0
CONFIRMED_BREAKOUT,18.0,3600.0,26,22.0,-9.0
CONFIRMED_BREAKOUT,12.0,2400.0,6,16.0,-10.0
EARLY_BREAKOUT,4.2,840.0,12,16.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,3,2.0,-8.0
EARLY_BREAKOUT,7.8,1560.0,22,28.0,-9.0
EARLY_BREAKOUT,3.0,600.0,6,10.0,-5.0
EARLY_BREAKOUT,-3.3,-660.0,4,1.0,-12.0
EARLY_BREAKOUT,1.7999999999999998,359.99999999999994,8,6.0,-5.0
CONFIRMED_BREAKOUT,-5.0,-1000.0,36,8.0,-8.0
EARLY_BREAKOUT,5.1,1019.9999999999999,16,18.0,-6.0
EARLY_BREAKOUT,-4.5,-900.0,29,11.0,-16.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,12,4.0,-11.0
EARLY_BREAKOUT,3.9,780.0,13,14.0,-8.0
EARLY_BREAKOUT,-1.5,-300.0,9,2.0,-6.0
